worms_phylum,worms_valid_name,worms_id,checklist,idigbio,obis,bold
annelida,Cabira incerta,157290,1,1,1,0
annelida,Califia calida,327326,1,1,1,0
annelida,Capitella capitata,129876,1,1,1,1
annelida,Carazziella hobsonae,327357,1,1,1,0
annelida,Cenogenus brevipes,333182,1,0,1,0
annelida,Ceratocephale oculata,157292,1,1,1,0
annelida,Ceratonereis (Ceratonereis) singularis,335310,1,1,0,0
annelida,Ceratonereis (Composetia) irritabilis,333208,1,1,0,0
annelida,Ceratonereis (Composetia) versipedata,333219,1,1,0,0
annelida,Ceratonereis longicirrata,327396,1,1,1,0
annelida,Ceratonereis mirabilis,130372,1,1,1,0
annelida,Chaetopterus variopedatus,129914,1,1,1,1
annelida,Chaetozone columbiana,327415,1,0,1,1
annelida,Chaetozone commonalis,327416,1,1,1,0
annelida,Chaetozone setosa,129955,1,1,1,1
annelida,Chloeia viridis,129827,1,1,1,1
annelida,Chone duneri,130888,1,1,1,0
annelida,Chrysopetalum floridanum,326747,1,0,1,0
annelida,Chrysopetalum hernancortezae,326748,1,1,1,0
annelida,Chrysopetalum occidentale,326752,1,1,1,1
annelida,Circeis spirillum,131201,1,1,1,0
annelida,Cirratulus grandis,157297,1,0,1,0
annelida,Cirriformia capensis,332691,1,1,1,0
annelida,Cirriformia filigera,209871,1,1,1,1
annelida,Cirrophorus americanus,327112,1,1,1,0
annelida,Cirrophorus branchiatus,130576,1,1,1,1
annelida,Cirrophorus furcatus,130577,1,1,1,0
annelida,Clavodorum mexicanum,327128,1,1,1,0
annelida,Clymenella mucosa,332712,1,1,1,0
annelida,Clymenella torquata,130279,1,1,1,1
annelida,Cossura delta,326851,1,1,1,0
annelida,Cossura longocirrata,129984,1,1,1,0
annelida,Cossura soyeri,129986,1,1,1,0
annelida,Crucigera websteri,326864,1,1,1,0
annelida,Cystobranchus vividus,370625,1,0,1,1
annelida,Dasybranchus lumbricoides,157322,1,1,1,0
annelida,Dasybranchus lunulatus,157324,1,1,1,0
annelida,Dayipsammolyce ctenidophora,236763,1,1,1,0
annelida,Decamastus gracilis,326885,1,1,1,1
annelida,Dentatisyllis carolinae,157337,1,1,1,0
annelida,Dentatisyllis uebelackerae,335067,1,1,1,0
annelida,Diaphorosoma magnavena,326914,1,1,1,0
annelida,Diopatra cuprea,157339,1,1,1,1
annelida,Diopatra neotridens,326961,1,1,1,0
annelida,Diopatra papillata,326965,1,1,1,0
annelida,Diopatra tridentata,157340,1,1,1,0
annelida,Dioplosyllis octodentata,238247,1,1,1,0
annelida,Diplocirrus capensis,157341,1,1,1,0
annelida,Dipolydora caulleryi,131116,1,1,1,0
annelida,Dipolydora socialis,131124,1,1,1,1
annelida,Dispio uncinata,131125,1,1,1,0
annelida,Dodecaceria coralii,157342,1,1,1,0
annelida,Dodecaceria fistulicola,210029,1,0,1,0
annelida,Dorvillea cerasina,332765,1,0,1,0
annelida,Dorvillea clavata,421055,1,0,1,0
annelida,Dorvillea largidentis,421057,1,0,1,0
annelida,Dorvillea rubra,332769,1,1,1,0
annelida,Dorvillea sociabilis,332771,1,1,1,0
annelida,Drilonereis debilis,332774,1,1,1,0
annelida,Drilonereis falcata,327464,1,0,1,0
annelida,Drilonereis filum,129856,1,1,1,1
annelida,Drilonereis longa,157357,1,1,1,1
annelida,Drilonereis magna,157358,1,1,1,0
annelida,Drilonereis spatula,332780,1,1,1,0
annelida,Dysponetus caecus,129929,1,1,1,0
annelida,Ehlersileanira incisa,332786,1,1,1,0
annelida,Eliberidens forceps,327490,1,1,1,0
annelida,Enoplobranchus sanguineus,157370,1,1,1,0
annelida,Ephesiella bipapillata,327501,1,1,1,0
annelida,Escarpia laminata,265923,1,1,1,1
annelida,Eteone longa,130616,1,1,1,0
annelida,Euarche mexicana,327545,1,1,1,0
annelida,Euarche tubifex,129734,1,1,1,0
annelida,Euchone incolor,155202,1,1,1,0
annelida,Euchone southerni,130910,1,1,1,0
annelida,Eulalia bilineata,130624,1,1,1,0
annelida,Eumida sanguinea,130644,1,1,1,1
annelida,Eunice aphroditois,130053,1,1,1,0
annelida,Eunice articulata,327635,1,1,1,0
annelida,Eunice denticulata,327664,1,1,1,0
annelida,Eunice filamentosa,327679,1,1,1,0
annelida,Eunice floridana,130056,1,1,1,0
annelida,Eunice fucata,327684,1,1,1,0
annelida,Eunice macrobranchia,333326,1,1,1,0
annelida,Eunice norvegica,130058,1,1,1,1
annelida,Eunice pennata,130060,1,1,1,1
annelida,Eunice riojai,335044,1,0,1,0
annelida,Eunice schemacephala,209817,1,0,1,0
annelida,Eunice stigmatura,333342,1,1,1,0
annelida,Eunice tenuicirrata,333344,1,1,1,0
annelida,Eunice tenuis,333345,1,1,1,0
annelida,Eunice tibiana,333346,1,1,1,0
annelida,Eunice unifrons,333349,1,1,1,0
annelida,Eunice violaceomaculata,327810,1,0,1,0
annelida,Eunice vittata,130067,1,1,1,1
annelida,Eunice websteri,157378,1,1,1,0
annelida,Eunice weintraubi,327814,1,1,1,0
annelida,Eunice wui,327816,1,1,1,0
annelida,Euniphysa quadridentata,327830,1,1,1,0
annelida,Euniphysa tridontesa,421059,1,0,1,0
annelida,Eunoe hubrecthi,333358,1,0,1,0
annelida,Euphrosine armadilloides,173259,1,0,1,0
annelida,Euphrosine triloba,327882,1,1,1,0
annelida,Eupolymnia nebulosa,131489,1,1,1,0
annelida,Eupolyodontes batabanoensis,335041,1,0,1,0
annelida,Eurysyllis tuberculata,131288,1,1,1,1
annelida,Eurythoe complanata,129829,1,1,1,1
annelida,Eurythoe paupera,333431,1,0,1,0
annelida,Eusyllis assimilis,131289,1,0,1,0
annelida,Eusyllis lamelligera,131292,1,1,1,1
annelida,Exogone (Exogone) lourei,238226,1,1,0,0
annelida,Exogone arenosa,327965,1,1,1,0
annelida,Exogone atlantica,327967,1,1,1,0
annelida,Exogone dispar,333453,1,1,1,0
